Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,182L,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-22,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Beech,36,1.0,Reciprocating,Business,0.0,1.0,0.0,1.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-28-161,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,180K,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Piper,Pa-22,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Beech,99,2.0,Turbo Prop,Unknown,0.0,5.0,2.0,0.0,IMC
Accident,Non-Fatal,Destroyed,Airplane,Cessna,172,1.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Cessna,182,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Bellanca,7Eca,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,Tr182,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,P206,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Grumman,1159,2.0,Turbo Jet,Executive/corporate,0.0,0.0,0.0,4.0,VMC
